dataset,policy,budget_fraction,examples,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
hotpotqa,iterative,0.05,80,50.125,4.6875,2.875,0.55,0.12011904761904761,0.24479166666666666,0.0,0.05736640324168615,0.6421130952380952,0.9426335967583139,2.205044642857143
hotpotqa,iterative,0.1,80,50.125,4.6875,5.3125,0.9125,0.2024404761904762,0.20583104395604396,0.0,0.10586188000599997,1.1882440476190477,0.8941381199940001,1.9267508012820513
hotpotqa,iterative,0.2,80,50.125,4.6875,10.375,1.4625,0.32279761904761906,0.16070585664335663,0.025,0.2072174780270652,2.3254464285714285,0.7927825219729348,1.555852636946387
hotpotqa,iterative,0.3,80,50.125,4.6875,15.4375,2.1125,0.4783928571428572,0.15124997556837727,0.1125,0.30861366046371486,3.4563988095238094,0.6913863395362851,1.5589657631643168
hotpotqa,one_shot,0.05,80,50.125,4.6875,2.875,0.55,0.12226190476190477,0.24166666666666664,0.0,0.05736640324168615,0.6421130952380952,0.9426335967583139,2.222857142857143
hotpotqa,one_shot,0.1,80,50.125,4.6875,5.3125,0.925,0.20711309523809524,0.2072893772893773,0.0125,0.10586188000599997,1.1882440476190477,0.8941381199940001,1.9678296703296703
hotpotqa,one_shot,0.2,80,50.125,4.6875,10.375,1.5125,0.33779761904761907,0.1668276515151515,0.0625,0.2072174780270652,2.3254464285714285,0.7927825219729348,1.6228583655927404
hotpotqa,one_shot,0.3,80,50.125,4.6875,15.4375,2.225,0.4965773809523809,0.15885090748819464,0.1,0.30861366046371486,3.4563988095238094,0.6913863395362851,1.6169127794907836
hotpotqa,oracle,0.05,80,50.125,4.6875,2.6875,2.6875,0.5952380952380952,1.0,0.125,0.05587830800359091,0.5952380952380952,0.9441216919964092,11.221279761904762
hotpotqa,oracle,0.1,80,50.125,4.6875,4.25,4.25,0.9236607142857143,1.0,0.6875,0.09173186820999188,0.9236607142857143,0.9082681317900081,11.221279761904762
hotpotqa,oracle,0.2,80,50.125,4.6875,4.6875,4.6875,1.0,1.0,1.0,0.10225385193397533,1.0,0.8977461480660246,11.221279761904762
hotpotqa,oracle,0.3,80,50.125,4.6875,4.6875,4.6875,1.0,1.0,1.0,0.10225385193397533,1.0,0.8977461480660246,11.221279761904762
qasper,iterative,0.05,80,142.625,11.0625,7.6875,1.5375,0.37725892857142856,0.23135822510822512,0.1375,0.05438395662869285,1.7402186355311353,0.9456160433713071,6.956554112554113
qasper,iterative,0.1,80,142.625,11.0625,14.6875,2.225,0.46551877289377286,0.17170801979979144,0.2,0.10365710285596645,3.3401236263736265,0.8963428971440335,4.478413318635842
qasper,iterative,0.2,80,142.625,11.0625,29.0,3.2,0.5669544413919414,0.12174165773229148,0.3125,0.20388376024647936,6.566957417582418,0.7961162397535206,2.7748736692290037
qasper,iterative,0.3,80,142.625,11.0625,43.25,4.0125,0.6508099816849817,0.10158099252630215,0.4375,0.30411679955939747,9.769386446886447,0.6958832004406025,2.140147620808312
qasper,one_shot,0.05,80,142.625,11.0625,7.6875,1.575,0.37590819597069597,0.22632260101010102,0.1625,0.05438395662869285,1.7402186355311353,0.9456160433713071,6.93740213027713
qasper,one_shot,0.1,80,142.625,11.0625,14.6875,2.4,0.476507326007326,0.18151197045306686,0.2125,0.10365710285596645,3.3401236263736265,0.8963428971440335,4.586580831592441
qasper,one_shot,0.2,80,142.625,11.0625,29.0,3.325,0.5769587912087912,0.12402223308642875,0.325,0.20388376024647936,6.566957417582418,0.7961162397535206,2.8243775774743307
qasper,one_shot,0.3,80,142.625,11.0625,43.25,4.175,0.6560114468864469,0.1027958651668239,0.3875,0.30411679955939747,9.769386446886447,0.6958832004406025,2.158141080539294
qasper,oracle,0.05,80,142.625,11.0625,5.6875,5.6875,0.7995936355311355,1.0,0.5,0.04106583974089126,0.7995936355311355,0.9589341602591087,32.171434294871794
qasper,oracle,0.1,80,142.625,11.0625,8.0625,8.0625,0.9533333333333334,1.0,0.875,0.056979155901180835,0.9533333333333334,0.9430208440988193,32.171434294871794
qasper,oracle,0.2,80,142.625,11.0625,10.0,10.0,0.9858333333333332,1.0,0.9375,0.06421340786968477,0.9858333333333332,0.9357865921303151,32.171434294871794
qasper,oracle,0.3,80,142.625,11.0625,11.0625,11.0625,1.0,1.0,1.0,0.06787720097313305,1.0,0.9321227990268669,32.171434294871794
synthetic_2hop,one_shot,0.2,320,10.0,2.0,2.0,1.0,0.5,0.5,0.0,0.2,1.0,0.8,2.5
synthetic_2hop,oracle,0.2,320,10.0,2.0,2.0,2.0,1.0,1.0,1.0,0.2,1.0,0.8,5.0
synthetic_3hop,one_shot,0.2727272727272727,320,11.0,3.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.2727272727272727,1.0,0.7272727272727273,1.2222222222222223
synthetic_3hop,oracle,0.2727272727272727,320,11.0,3.0,3.0,3.0,1.0,1.0,1.0,0.2727272727272727,1.0,0.7272727272727273,3.666666666666667
